RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023
2452,20,New York County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,61,991948.668,987966.6361,986150.7526,983056.1775,987483.849,987484.6531,986279.2516,981589.5284,988094.0446,997217.7815,1005218.317,1010124.784,1011790.951,1016143.375,1020656.939,1022276.262,1025669.603,1030222.883,1043264.91,1055508.94,1064599.437,1071192.75,1079020.443,1085544.57,1093941.018,1106888.173,1135056.376,1159550.317,1180485.894,1191279.767,1193054.911,1183293.257,1162850.887,1146201.428,1127184.252,1107206.01,1089549.128,1084875.455,1089481.989,1097577.593,1106448.21,1116104.708
2801,21,Middlesex County,county,MA,MA,"Boston-Cambridge-Newton, MA-NH",25,17,587512.2821,590351.0352,594645.9774,598692.716,601305.1396,602846.5031,604059.0052,606964.5262,612120.5435,618845.1059,626599.9373,634267.7655,641256.8748,648021.7238,654700.2925,662027.7066,669646.3681,676863.5964,681891.22,683530.0706,682897.966,682296.9818,683460.4944,686325.7952,692820.8998,702725.7036,715120.2792,726523.1383,736196.3601,743254.918,745829.2259,743078.308,736765.6833,731554.8797,728678.3675,727164.9955,726860.5598,727093.6321,729410.6779,731857.5295,735956.5991,741424.6882
3175,22,Philadelphia County,county,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42,101,181915.8937,184005.308,186243.399,188341.2125,189431.6628,189221.3255,188746.877,188859.372,190345.3959,192583.0469,195694.8348,198832.697,201759.6192,204438.5598,207176.9276,209781.4158,212278.6023,214262.0749,214842.0128,213707.1121,211029.8461,208842.8185,207527.9718,207458.3658,209292.6963,212804.8342,217454.2734,221706.0877,225178.3554,227782.3257,228573.3545,227786.4896,226431.1134,225578.9407,225160.5095,224372.5556,224412.4255,224129.359,223932.507,222927.5917,222634.0294,223007.8941
3017,23,Sacramento County,county,CA,CA,"Sacramento-Roseville-Folsom, CA",6,67,395439.0145,398257.717,401592.3598,404570.4334,405952.8569,406346.5542,406775.1158,409116.8115,413499.3242,419501.9954,426788.0764,434692.6206,442716.3948,450448.4279,457716.1899,464772.3277,471676.1424,478018.2459,483569.1237,487180.3315,489645.7413,491640.3222,494960.847,499430.0622,506498.1372,515474.9422,526106.2113,535363.8245,542444.0286,546423.6732,546663.302,543376.2602,537820.2057,532325.7192,527192.2957,521879.629,516032.9024,511461.7779,509315.811,509367.7202,511009.9735,514050.9103
2046,24,Suffolk County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,103,469109.503,472308.8581,474646.7571,477126.5588,479737.1745,480940.9575,480427.0455,479019.0843,479627.9234,482285.1908,487093.247,493941.453,501433.2413,509561.1889,517056.0117,524301.6175,531373.027,538119.4804,543607.0112,548000.032,551306.7306,555199.0941,559768.5917,565220.8529,570031.923,574557.9237,579428.977,585468.2524,591300.8015,596655.7528,600843.9114,602181.4882,600899.3751,598020.145,595404.777,591794.0644,590972.8191,591225.3408,593735.3149,593855.9406,593903.167,595782.0836
2993,25,Palm Beach County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,99,296561.9945,298602.2474,300340.3727,301023.0468,300672.5,300067.3088,300185.1895,301820.1423,304806.1501,308341.8457,312483.1108,316571.491,320828.1623,324843.647,329128.2887,334026.488,340100.5629,347464.6877,355406.8987,363078.1011,370155.127,376815.9659,383676.2398,390720.2152,399205.2958,408788.2452,419782.4428,431066.6724,442042.7331,451654.7151,457983.7494,460768.1856,460587.9586,459978.2372,459318.7507,458132.7074,456656.1242,455503.4902,456209.7591,457683.979,460148.3179,463091.6228
401,26,Bronx County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,5,478013.6893,472008.8297,460627.3523,453309.4743,451472.4266,449523.39,449863.448,451017.7395,457658.2365,463961.7106,467783.2462,469954.7631,472366.9537,476000.4811,480769.279,481129.1895,482066.3352,479394.0473,478166.1813,473914.2414,469148.8901,469160.8018,471423.4653,473955.9105,471656.9557,470579.2969,471630.1468,474764.7601,475015.344,474176.5235,468790.7216,460783.6902,450215.3208,444147.8222,440949.8709,435613.4938,426415.6198,417919.401,413306.4426,413229.5244,416519.0862,422858.4981
3165,27,Hillsborough County,county,FL,FL,"Tampa-St. Petersburg-Clearwater, FL",12,57,252589.9531,254867.2295,256902.1671,258166.0128,258902.1096,259555.8654,260658.6925,262608.5944,265466.5775,268814.8701,272702.614,276764.3923,281256.8119,286155.06,291426.1755,296777.036,302210.6331,308058.973,313836.338,319082.7496,323595.7184,328274.6324,333792.5259,339994.0821,347912.2135,356996.9038,367081.8865,376640.2701,385182.5188,392400.0722,397285.3978,399293.1985,398526.1625,396419.6913,393670.8008,390290.4132,386954.7522,384314.188,383240.9929,383143.617,384091.4489,385951.8706
1287,28,Orange County,county,FL,FL,"Orlando-Kissimmee-Sanford, FL",12,95,273715.4768,275768.4838,277696.801,279171.1745,279916.5621,280270.959,280900.0641,282467.3312,284797.8071,287529.5586,290743.5179,293950.4899,297265.1058,300581.4378,304252.6839,308312.0944,313123.1657,318967.8493,324415.7529,329112.4112,332688.6998,336880.2428,341911.9468,347818.8558,355166.797,363378.0515,372091.6029,380162.7714,387138.2845,393252.8862,397451.96,399698.9809,399961.6714,399563.6739,398840.9959,397403.1941,395515.4854,393997.5334,393958.2521,394809.0504,396229.3655,397800.8491
1252,29,Nassau County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,59,577855.5472,582106.4322,588126.7013,593744.5472,597609.577,598156.4389,596810.2841,594635.871,594468.0717,596326.4764,600995.115,608274.0447,615464.227,622838.7294,629231.5535,636005.8848,642234.5486,648029.3024,652295.1453,655589.8025,657689.7731,660124.2642,663261.6285,666528.8255,670121.0655,674098.4337,679650.7565,685429.5558,691250.8824,697792.6222,702939.8646,705851.176,704772.7952,703039.5789,701717.5394,699998.4541,700861.6344,702360.1868,706027.9637,707558.5842,709021.5609,711344.6944
2288,30,Franklin County,county,OH,OH,"Columbus, OH",39,49,200742.6528,202469.6619,204185.5373,205851.0059,206943.5952,207586.7036,208005.9017,209153.8045,211348.5604,214268.2107,217736.3951,221109.9299,224368.8048,227671.2898,231236.0614,234840.1341,238348.2335,241654.2093,244051.3803,244924.803,244665.0817,244421.841,245197.0957,246741.6106,250075.9932,254945.7218,260841.9091,266331.9857,270969.9376,274777.2102,277056.2682,277721.3333,277171.1474,276460.7371,275827.839,275103.885,275103.8653,275518.9136,276881.1454,278239.3502,280594.1906,283299.1454
1950,31,Oakland County,county,MI,MI,"Detroit-Warren-Dearborn, MI",26,125,265269.7352,266594.7386,268133.0026,269381.5945,269858.1781,270105.9342,270520.7701,271819.6396,274131.4622,277146.5367,280615.493,284166.2399,287838.8334,291948.8255,296311.4996,300974.216,305688.3903,309940.4828,312730.7863,313856.0161,314007.6233,314232.5552,314889.3477,316177.0716,318957.032,323214.9425,328591.6537,333868.583,338228.2444,341382.9665,342115.801,340485.4545,337424.0486,335001.2547,333582.9775,332601.3039,331760.7561,331607.1355,332765.552,334659.8231,337123.4322,339596.0772
